customer_zip_code_prefix,job_count,avg_value,lat,lng,state
22790,136,182.69,-23.014294742166268,-43.46413167283893,RJ
24230,117,170.11,-22.90600354640406,-43.10546782889948,RJ
22793,116,162.55,-23.001664514859417,-43.40383953802869,RJ
24220,115,173.78,-22.90316625284208,-43.10713068500763,RJ
22775,103,185.2,-22.970894018595992,-43.38784233625709,RJ
29101,100,130.55,-20.342467507877814,-40.28566821952616,ES
13212,92,193.92,-23.18300381820934,-46.96922804883066,SP
35162,92,136.51,-19.46970149792253,-42.562507159587966,MG
22631,85,208.14,-23.004214031623405,-43.335593643632045,RJ
38400,85,164.01,-18.914980232586977,-48.27813616348312,MG
